part number,configuration,bar thickness,bar width,bar length,hole pattern,hole size,material,pigtail code,pigtail length
EGBB14324CB,(B) Busbar and Brackets,14 - 1/4,3,24,C,9/16 in,Copper,-,-
EGBB14424CC,(B) Busbar and Brackets,14 - 1/4,4,24,C,7/16 in,Copper,-,-
EGBB14424EE,(B) Busbar and Brackets,14 - 1/4,4,24,E,7/16 in,Copper,-,-
EGBB14424JE,(B) Busbar and Brackets,14 - 1/4,4,24,J,1/4 in,Copper,-,-
EGBB38324NN,(B) Busbar and Brackets,38 - 3/8,3,24,N,No Hole Pattern,Copper,-,-
EGBC14124NN,(C) Busbar Only,14 - 1/4,1,24,N,No Hole Pattern,Copper,-,-
EGBC14224NN,(C) Busbar Only,14 - 1/4,2,24,N,No Hole Pattern,Copper,-,-
EGBC14424NN,(C) Busbar Only,14 - 1/4,4,24,N,No Hole Pattern,Copper,-,-
EGBD14224BB,(D) Busbar and Insulators,14 - 1/4,2,24,B,7/16 in,Copper,-,-
EGBF12424CB,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",12 - 1/2,4,24,C,9/16 in,Copper,-,-
EGBF12424CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",12 - 1/2,4,24,C,7/16 in,Copper,-,-
EGBF14424CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,24,C,7/16 in,Copper,-,-
EGBF14424GG,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,24,G,7/16 in,Copper,-,-
EGBF14424LL,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,24,L,7/16 in,Copper,-,-
EGBF14424RR,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,24,R,7/16 in,Copper,-,-
EGBA14222EET,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,22,E,7/16 in,Tinned Copper,-,-
EGBA14422BD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,22,B,3/8 in,Copper,-,-
EGBA14421RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,21,R,7/16 in,Copper,-,-
EGBA12420NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,20,N,No Hole Pattern,Copper,-,-
EGBA14220BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,20,B,7/16 in,Copper,-,-
EGBA14220BE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,20,B,5/16 in,Copper,-,-
EGBA14220DGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,20,D,1/2 in,Tinned Copper,-,-
EGBA14220EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,20,E,7/16 in,Copper,-,-
EGBA14220HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,20,H,7/16 in,Copper,-,-
EGBA14220JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,20,J,7/16 in,Copper,-,-
EGBA14220NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,20,N,No Hole Pattern,Copper,-,-
EGBA14320BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,20,B,7/16 in,Copper,-,-
EGBA14320CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,20,C,7/16 in,Copper,-,-
EGBA14420DG1TE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,D,1/2 in,,"#2 Solid Copper Wire, Tinned",5 ft
EGBA14420LLT2GT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,L,7/16 in,Tinned Copper,"2/0 Concentric Copper Cable, 7 Strand",26 ft
EGBA14420AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,A,7/16 in,Copper,-,-
EGBA14420BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,B,7/16 in,Copper,-,-
EGBA14420CB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,C,9/16 in,Copper,-,-
EGBA14420CBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,C,9/16 in,Tinned Copper,-,-
EGBA14420CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,C,7/16 in,Copper,-,-
EGBA14420CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,C,7/16 in,Tinned Copper,-,-
EGBA14420GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,G,7/16 in,Copper,-,-
EGBA14420HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,H,7/16 in,Copper,-,-
EGBA14420LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,L,7/16 in,Copper,-,-
EGBA14420LLT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,L,7/16 in,Tinned Copper,-,-
EGBA14420MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,M,7/16 in,Copper,-,-
EGBA14420NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,N,No Hole Pattern,Copper,-,-
EGBA14420QQ,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,Q,7/16 in,Copper,-,-
EGBA14420QQT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,Q,7/16 in,Tinned Copper,-,-
EGBA14420RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,20,R,7/16 in,Copper,-,-
EGBA38320BF,"(A) Busbar, Insulators and Brackets",38 - 3/8,3,20,B,1/4 in,Copper,-,-
EGBA38420CC,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,20,C,7/16 in,Copper,-,-
EGBB14420CC,(B) Busbar and Brackets,14 - 1/4,4,20,C,7/16 in,Copper,-,-
EGBF14420CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,20,C,7/16 in,Copper,-,-
EGBF14420LL,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,20,L,7/16 in,Copper,-,-
EGBF14420LLT,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,20,L,7/16 in,Tinned Copper,-,-
EGBA12418EE,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,18,E,7/16 in,Copper,-,-
EGBA12418MM,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,18,M,7/16 in,Copper,-,-
EGBA12418NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,18,N,No Hole Pattern,Copper,-,-
EGBA14118NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,18,N,No Hole Pattern,Copper,-,-
EGBA14218BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,18,B,7/16 in,Copper,-,-
EGBA14218EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,18,E,7/16 in,Copper,-,-
EGBA14218GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,18,G,7/16 in,Copper,-,-
EGBA14218HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,18,H,7/16 in,Copper,-,-
EGBA14218HHT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,18,H,7/16 in,Tinned Copper,-,-
EGBA14218NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,18,N,No Hole Pattern,Copper,-,-
EGBA14318DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,18,D,7/16 in,Copper,-,-
EGBA14318GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,18,G,7/16 in,Copper,-,-
EGBA14318NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,18,N,No Hole Pattern,Copper,-,-
EGBA14418AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,A,7/16 in,Copper,-,-
EGBA14418BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,B,7/16 in,Copper,-,-
EGBA14418BC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,B,9/16 in,Copper,-,-
EGBA14418BD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,B,3/8 in,Copper,-,-
EGBA14418CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,C,7/16 in,Copper,-,-
EGBA14418CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,C,7/16 in,Tinned Copper,-,-
EGBA14418DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,D,7/16 in,Copper,-,-
EGBA14418EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,E,7/16 in,Copper,-,-
EGBA14418GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,G,7/16 in,Copper,-,-
EGBA14418JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,J,7/16 in,Copper,-,-
EGBA14418LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,L,7/16 in,Copper,-,-
EGBA14418LLT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,L,7/16 in,Tinned Copper,-,-
EGBA14418MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,M,7/16 in,Copper,-,-
EGBA14418NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,18,N,No Hole Pattern,Copper,-,-
EGBA38418BB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,18,B,7/16 in,Copper,-,-
EGBA38418DB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,18,D,9/16 in,Copper,-,-
EGBA38418NN,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,18,N,No Hole Pattern,Copper,-,-
EGBB14318CB,(B) Busbar and Brackets,14 - 1/4,3,18,C,9/16 in,Copper,-,-
EGBB14418BB,(B) Busbar and Brackets,14 - 1/4,4,18,B,7/16 in,Copper,-,-
EGBC14118HH,(C) Busbar Only,14 - 1/4,1,18,H,7/16 in,Copper,-,-
EGBC14218EET,(C) Busbar Only,14 - 1/4,2,18,E,7/16 in,Tinned Copper,-,-
EGBF14318CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,3,18,C,7/16 in,Copper,-,-
EGBF14418CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,18,C,7/16 in,Copper,-,-
EGBF14418CCT,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,18,C,7/16 in,Tinned Copper,-,-
EGBF14418LL,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,18,L,7/16 in,Copper,-,-
EGBA12416AA,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,16,A,7/16 in,Copper,-,-
EGBA12416BD,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,16,B,3/8 in,Copper,-,-
EGBA12416CA,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,16,C,5/8 in,Copper,-,-
EGBA14116HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,16,H,7/16 in,Copper,-,-
EGBA14216BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,16,B,7/16 in,Copper,-,-
EGBA14216EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,16,E,7/16 in,Copper,-,-
EGBA14216GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,16,G,7/16 in,Copper,-,-
EGBA14216HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,16,H,7/16 in,Copper,-,-
EGBA14216NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,16,N,No Hole Pattern,Copper,-,-
EGBA14216NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,16,N,No Hole Pattern,Tinned Copper,-,-
EGBA14316CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,16,C,7/16 in,Copper,-,-
EGBA14416AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,A,7/16 in,Copper,-,-
EGBA14416AAT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,A,7/16 in,Tinned Copper,-,-
EGBA14416BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,B,7/16 in,Copper,-,-
EGBA14416CA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,C,5/8 in,Copper,-,-
EGBA14416CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,C,7/16 in,Copper,-,-
EGBA14416CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,C,7/16 in,Tinned Copper,-,-
EGBA14416CF,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,C,1/4 in,Copper,-,-
EGBA14416LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,L,7/16 in,Copper,-,-
EGBA14416LLT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,L,7/16 in,Tinned Copper,-,-
EGBA14416NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,N,No Hole Pattern,Copper,-,-
EGBA14416NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,16,N,No Hole Pattern,Tinned Copper,-,-
EGBA38416GG,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,16,G,7/16 in,Copper,-,-
EGBC14316LL,(C) Busbar Only,14 - 1/4,3,16,L,7/16 in,Copper,-,-
EGBC14416AA,(C) Busbar Only,14 - 1/4,4,16,A,7/16 in,Copper,-,-
EGBC14416CAT,(C) Busbar Only,14 - 1/4,4,16,C,5/8 in,Tinned Copper,-,-
EGBD14416JET,(D) Busbar and Insulators,14 - 1/4,4,16,J,1/4 in,Tinned Copper,-,-
EGBF14416LL,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,16,L,7/16 in,Copper,-,-
EGBF14416LLT,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,16,L,7/16 in,Tinned Copper,-,-
EGBA14215BDT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,15,B,3/8 in,Tinned Copper,-,-
EGBA14215EET,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,15,E,7/16 in,Tinned Copper,-,-
EGBA14215GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,15,G,7/16 in,Copper,-,-
EGBA14215JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,15,J,7/16 in,Copper,-,-
EGBA14215JJT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,15,J,7/16 in,Tinned Copper,-,-
EGBA14215NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,15,N,No Hole Pattern,Copper,-,-
EGBA14415CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,15,C,7/16 in,Copper,-,-
EGBA14415CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,15,C,7/16 in,Tinned Copper,-,-
EGBA14415GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,15,G,7/16 in,Copper,-,-
EGBA14415LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,15,L,7/16 in,Copper,-,-
EGBC14215NN,(C) Busbar Only,14 - 1/4,2,15,N,No Hole Pattern,Copper,-,-
EGBA12414BB,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,14,B,7/16 in,Copper,-,-
EGBA14214BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,14,B,7/16 in,Copper,-,-
EGBA14214BDT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,14,B,3/8 in,Tinned Copper,-,-
EGBA14214EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,14,E,7/16 in,Copper,-,-
EGBA14214GCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,14,G,3/8 in,Tinned Copper,-,-
EGBA14214HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,14,H,7/16 in,Copper,-,-
EGBA14214NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,14,N,No Hole Pattern,Copper,-,-
EGBA14414AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,A,7/16 in,Copper,-,-
EGBA14414BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,B,7/16 in,Copper,-,-
EGBA14414BF,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,B,1/4 in,Copper,-,-
EGBA14414CB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,C,9/16 in,Copper,-,-
EGBA14414CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,C,7/16 in,Copper,-,-
EGBA14414EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,E,7/16 in,Copper,-,-
EGBA14414GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,G,7/16 in,Copper,-,-
EGBA14414KK,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,K,7/16 in,Copper,-,-
EGBA14414LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,L,7/16 in,Copper,-,-
EGBA14414MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,M,7/16 in,Copper,-,-
EGBA14414NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,N,No Hole Pattern,Copper,-,-
EGBA14414RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,14,R,7/16 in,Copper,-,-
EGBB14214NN,(B) Busbar and Brackets,14 - 1/4,2,14,N,No Hole Pattern,Copper,-,-
EGBB14414CC,(B) Busbar and Brackets,14 - 1/4,4,14,C,7/16 in,Copper,-,-
EGBA14213NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,13,N,No Hole Pattern,Copper,-,-
EGBB14313GGT,(B) Busbar and Brackets,14 - 1/4,3,13,G,7/16 in,Tinned Copper,-,-
EGBC14213EB,(C) Busbar Only,14 - 1/4,2,13,E,9/16 in,Copper,-,-
EGBA12212NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,2,12,N,No Hole Pattern,Copper,-,-
EGBA12412AA,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,12,A,7/16 in,Copper,-,-
EGBA12412CC,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,12,C,7/16 in,Copper,-,-
EGBA12412GG,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,12,G,7/16 in,Copper,-,-
EGBA12412NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,12,N,No Hole Pattern,Copper,-,-
EGBA12612LL,"(A) Busbar, Insulators and Brackets",12 - 1/2,6,12,L,7/16 in,Copper,-,-
EGBA12612NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,6,12,N,No Hole Pattern,Copper,-,-
EGBA14112EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,12,E,7/16 in,Copper,-,-
EGBA14112HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,12,H,7/16 in,Copper,-,-
EGBA14112NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,1,12,N,No Hole Pattern,Copper,-,-
EGBA14212EE2GH,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,E,7/16 in,,"2/0 Concentric Copper Cable, 7 Strand",8 ft
EGBA14212BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,B,7/16 in,Copper,-,-
EGBA14212BBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,B,7/16 in,Tinned Copper,-,-
EGBA14212BD,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,B,3/8 in,Copper,-,-
EGBA14212DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,D,7/16 in,Copper,-,-
EGBA14212DDT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,D,7/16 in,Tinned Copper,-,-
EGBA14212EB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,E,9/16 in,Copper,-,-
EGBA14212ECT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,E,3/8 in,Tinned Copper,-,-
EGBA14212EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,E,7/16 in,Copper,-,-
EGBA14212EET,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,E,7/16 in,Tinned Copper,-,-
EGBA14212GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,G,7/16 in,Copper,-,-
EGBA14212HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,H,7/16 in,Copper,-,-
EGBA14212HHT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,H,7/16 in,Tinned Copper,-,-
EGBA14212JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,J,7/16 in,Copper,-,-
EGBA14212JJT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,J,7/16 in,Tinned Copper,-,-
EGBA14212NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,N,No Hole Pattern,Copper,-,-
EGBA14212NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,12,N,No Hole Pattern,Tinned Copper,-,-
EGBA14312LL2QA,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,L,7/16 in,,"4/0 Concentric Copper Cable, 7 Strand",1 ft
EGBA14312BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,B,7/16 in,Copper,-,-
EGBA14312BBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,B,7/16 in,Tinned Copper,-,-
EGBA14312CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,C,7/16 in,Copper,-,-
EGBA14312EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,E,7/16 in,Copper,-,-
EGBA14312GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,G,7/16 in,Copper,-,-
EGBA14312HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,H,7/16 in,Copper,-,-
EGBA14312LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,L,7/16 in,Copper,-,-
EGBA14312MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,M,7/16 in,Copper,-,-
EGBA14312MMT,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,M,7/16 in,Tinned Copper,-,-
EGBA14312NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,3,12,N,No Hole Pattern,Copper,-,-
EGBA14412AA1TD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,A,7/16 in,,"#2 Solid Copper Wire, Tinned",4 ft
EGBA14412BBT2GK,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,B,7/16 in,Tinned Copper,"2/0 Concentric Copper Cable, 7 Strand",10 ft
EGBA14412CCT1TK,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,C,7/16 in,Tinned Copper,"#2 Solid Copper Wire, Tinned",10 ft
EGBA14412AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,A,7/16 in,Copper,-,-
EGBA14412AAT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,A,7/16 in,Tinned Copper,-,-
EGBA14412BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,B,7/16 in,Copper,-,-
EGBA14412BBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,B,7/16 in,Tinned Copper,-,-
EGBA14412BD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,B,3/8 in,Copper,-,-
EGBA14412BE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,B,5/16 in,Copper,-,-
EGBA14412CB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,C,9/16 in,Copper,-,-
EGBA14412CBT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,C,9/16 in,Tinned Copper,-,-
EGBA14412CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,C,7/16 in,Copper,-,-
EGBA14412CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,C,7/16 in,Tinned Copper,-,-
EGBA14412CF,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,C,1/4 in,Copper,-,-
EGBA14412DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,D,7/16 in,Copper,-,-
EGBA14412DG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,D,1/2 in,Copper,-,-
EGBA14412EC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,E,3/8 in,Copper,-,-
EGBA14412EE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,E,7/16 in,Copper,-,-
EGBA14412GET,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,G,1/4 in,Tinned Copper,-,-
EGBA14412GGT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,G,7/16 in,Tinned Copper,-,-
EGBA14412HH,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,H,7/16 in,Copper,-,-
EGBA14412JE,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,J,1/4 in,Copper,-,-
EGBA14412JJ,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,J,7/16 in,Copper,-,-
EGBA14412KK,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,K,7/16 in,Copper,-,-
EGBA14412LB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,L,9/16 in,Copper,-,-
EGBA14412LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,L,7/16 in,Copper,-,-
EGBA14412LLT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,L,7/16 in,Tinned Copper,-,-
EGBA14412MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,M,7/16 in,Copper,-,-
EGBA14412MMT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,M,7/16 in,Tinned Copper,-,-
EGBA14412NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,N,No Hole Pattern,Tinned Copper,-,-
EGBA14412QQ,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,Q,7/16 in,Copper,-,-
EGBA14412QQT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,Q,7/16 in,Tinned Copper,-,-
EGBA14412RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,R,7/16 in,Copper,-,-
EGBA14412RRT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,12,R,7/16 in,Tinned Copper,-,-
EGBA14612AA,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,12,A,7/16 in,Copper,-,-
EGBA14612BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,12,B,7/16 in,Copper,-,-
EGBA14612BF,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,12,B,1/4 in,Copper,-,-
EGBA14612CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,12,C,7/16 in,Copper,-,-
EGBA14812BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,8,12,B,7/16 in,Copper,-,-
EGBA38212EE,"(A) Busbar, Insulators and Brackets",38 - 3/8,2,12,E,7/16 in,Copper,-,-
EGBA38212NN,"(A) Busbar, Insulators and Brackets",38 - 3/8,2,12,N,No Hole Pattern,Copper,-,-
EGBA38412AA,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,12,A,7/16 in,Copper,-,-
EGBA38412BB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,12,B,7/16 in,Copper,-,-
EGBA38412CC,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,12,C,7/16 in,Copper,-,-
EGBA38412GG,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,12,G,7/16 in,Copper,-,-
EGBA38412HH,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,12,H,7/16 in,Copper,-,-
EGBA38412NN,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,12,N,No Hole Pattern,Copper,-,-
EGBA38612GG,"(A) Busbar, Insulators and Brackets",38 - 3/8,6,12,G,7/16 in,Copper,-,-
EGBB14112HH,(B) Busbar and Brackets,14 - 1/4,1,12,H,7/16 in,Copper,-,-
