part number,configuration,bar thickness,bar width,bar length,hole pattern,hole size,material,pigtail code,pigtail length
EGBA14448CB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,C,9/16 in,Copper,-,-
EGBA14448CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,C,7/16 in,Copper,-,-
EGBA14448CCT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,C,7/16 in,Tinned Copper,-,-
EGBA14448GG,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,G,7/16 in,Copper,-,-
EGBA14448LL,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,L,7/16 in,Copper,-,-
EGBA14448MM,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,M,7/16 in,Copper,-,-
EGBA14448NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,N,No Hole Pattern,Copper,-,-
EGBA14448NNT,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,N,No Hole Pattern,Tinned Copper,-,-
EGBA14448RR,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,48,R,7/16 in,Copper,-,-
EGBA14648BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,48,B,7/16 in,Copper,-,-
EGBA14648CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,48,C,7/16 in,Copper,-,-
EGBA14648NN,"(A) Busbar, Insulators and Brackets",14 - 1/4,6,48,N,No Hole Pattern,Copper,-,-
EGBA38248EE,"(A) Busbar, Insulators and Brackets",38 - 3/8,2,48,E,7/16 in,Copper,-,-
EGBA38448BB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,48,B,7/16 in,Copper,-,-
EGBA38448CB,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,48,C,9/16 in,Copper,-,-
EGBA38448CC,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,48,C,7/16 in,Copper,-,-
EGBA38448GG,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,48,G,7/16 in,Copper,-,-
EGBA38448LL,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,48,L,7/16 in,Copper,-,-
EGBA38448NN,"(A) Busbar, Insulators and Brackets",38 - 3/8,4,48,N,No Hole Pattern,Copper,-,-
EGBC14248NN,(C) Busbar Only,14 - 1/4,2,48,N,No Hole Pattern,Copper,-,-
EGBC14448NN,(C) Busbar Only,14 - 1/4,4,48,N,No Hole Pattern,Copper,-,-
EGBF12448CB,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",12 - 1/2,4,48,C,9/16 in,Copper,-,-
EGBF12448CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",12 - 1/2,4,48,C,7/16 in,Copper,-,-
EGBF14448CC,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,48,C,7/16 in,Copper,-,-
EGBF14448CCT,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,48,C,7/16 in,Tinned Copper,-,-
EGBA12842NN,"(A) Busbar, Insulators and Brackets",12 - 1/2,8,42,N,No Hole Pattern,Copper,-,-
EGBA14442CB,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,42,C,9/16 in,Copper,-,-
EGBA14442CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,42,C,7/16 in,Copper,-,-
EGBA38642LL,"(A) Busbar, Insulators and Brackets",38 - 3/8,6,42,L,7/16 in,Copper,-,-
EGBA14240EET,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,40,E,7/16 in,Tinned Copper,-,-
EGBA14440CC,"(A) Busbar, Insulators and Brackets",14 - 1/4,4,40,C,7/16 in,Copper,-,-
EGBB14240EE,(B) Busbar and Brackets,14 - 1/4,2,40,E,7/16 in,Copper,-,-
EGBF14440QQ,"(F) Busbar, Insulators, Brackets and Plexiglass Cover",14 - 1/4,4,40,Q,7/16 in,Copper,-,-
EGBA12436MM,"(A) Busbar, Insulators and Brackets",12 - 1/2,4,36,M,7/16 in,Copper,-,-
EGBA12636CC,"(A) Busbar, Insulators and Brackets",12 - 1/2,6,36,C,7/16 in,Copper,-,-
EGBA12636LL,"(A) Busbar, Insulators and Brackets",12 - 1/2,6,36,L,7/16 in,Copper,-,-
EGBA14236BB,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,36,B,7/16 in,Copper,-,-
EGBA14236BD,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,36,B,3/8 in,Copper,-,-
EGBA14236DD,"(A) Busbar, Insulators and Brackets",14 - 1/4,2,36,D,7/16 in,Copper,-,-
